sku,description,prod_type,comm_class,lot_control_flag,primary_dc,abc_code,fin_rprt_grp,sku_entry_date,sku_status,discon_date
864451JTH,Sertraline 5mg Tablets Private Label,Pharma,Private Label,Yes,ILWH500E,C,PHRIL7960,7/19/2020,Active,
756816UUT,Levothyroxine 5mg Tablets Private Label,Pharma,Private Label,Yes,CADC400D,B,PHRCA3157,8/19/2023,Active,
736404FML,Cold and Flu Capsules,OTC,General Market,Yes,PAWH200B,A,OTCPA2691,11/13/2025,Inactive,
500828KOP,Antacid Chewables Private Label,OTC,Private Label,Yes,TXDC300C,C,OTCTX9832,8/28/2020,Active,
830685NSJ,Losartan 50mg Tablets,Pharma,General Market,Yes,ILWH500E,A,PHRIL1359,1/23/2017,Inactive,
144716ZUP,Amoxicillin 100mg Tablets,Pharma,,Yes,NJWH100A,B,PHRNJ4520,2/5/2025,Active,
273628SHA,Cough Syrup,OTC,General Market,Yes,PAWH200B,A,OTCPA9104,12/31/2022,Inactive,
577629NMS,Losartan 20mg Tablets Private Label,Pharma,Private Label,Yes,ILWH500E,C,PHRIL5976,1/25/2025,Inactive,
720219VDM,Antacid Chewables Private Label,OTC,Private Label,Yes,TXDC300C,A,OTCTX3662,9/12/2018,Active,
409779HTL,Atorvastatin 5mg Tablets Sample,Pharma,,Yes,CADC400D,B,PHRCA4102,1/13/2022,Inactive,10/6/2029
436058QGV,Cold and Flu Capsules Sample,OTC,Sample,Yes,PAWH200B,,OTCPA9873,5/24/2017,Inactive,
404361PEO,Antacid Chewables,OTC,Private Label,Yes,ILWH500E,B,OTCIL7048,4/6/2024,Inactive,
970652WZV,Lisinopril 250mg Tablets Private Label,Pharma,,Yes,,C,PHRCA1052,12/4/2020,Inactive,
497510DYY,Omeprazole 250mg Tablets Private Label,Pharma,Private Label,Yes,ILWH500E,C,PHRIL8258,9/8/2020,Inactive,
744004ZTP,Metformin 20mg Tablets Sample,Pharma,Sample,Yes,PAWH200B,C,PHRPA3108,9/8/2021,Active,
192060RQH,Atorvastatin 250mg Tablets Private Label,Pharma,Private Label,Yes,TXDC300C,A,PHRTX6426,8/27/2024,Inactive,
482307REN,Metformin 10mg Tablets Private Label,Pharma,Private Label,Yes,ILWH500E,C,PHRIL2728,9/25/2025,Active,9/3/2019
618425DDJ,Allergy Relief Caps,OTC,Sample,Yes,NJWH100A,A,OTCNJ1389,12/31/2020,Active,
519576OUQ,Lisinopril 100mg Tablets,Pharma,Sample,Yes,NJWH100A,A,PHRNJ3081,5/11/2018,Inactive,2/15/2027
660462KNR,Cold and Flu Capsules Sample,OTC,Sample,Yes,CADC400D,A,OTCCA4012,4/23/2017,Active,
184349WRQ,Allergy Relief Caps,,General Market,Yes,TXDC300C,B,OTCTX6015,3/19/2021,Inactive,
955609KZX,Cough Syrup,OTC,General Market,Yes,NJWH100A,B,OTCNJ6965,6/28/2024,Active,
805998HWG,Cough Syrup,OTC,Sample,Yes,ILWH500E,A,OTCIL5714,7/22/2023,Active,
325642AZK,Lisinopril 50mg Tablets,Pharma,Private Label,No,CADC400D,A,PHRCA4860,3/17/2020,Inactive,4/11/2028
377820EHS,Antacid Chewables,OTC,Sample,Yes,ILWH500E,C,OTCIL6106,12/13/2023,Inactive,
953727AEY,Sertraline 5mg Tablets,Pharma,General Market,Yes,NJWH100A,A,PHRNJ3101,9/29/2022,Active,5/12/2031
313972EWM,Lisinopril 20mg Tablets Sample,Pharma,Sample,Yes,ILWH500E,C,PHRIL8854,6/2/2023,Inactive,
913584ZBQ,Allergy Relief Caps,OTC,Sample,Yes,ILWH500E,C,OTCIL7699,11/12/2019,Active,
302623KJV,Allergy Relief Caps Private Label,OTC,Private Label,Yes,NJWH100A,B,OTCNJ7117,9/5/2018,Active,
990995IXO,Omeprazole5 mg Tablets,Pharma,Sample,Yes,TXDC300C,B,PHRTX3320,2/28/2023,Active,
754414KAC,Cold and Flu Capsules Private Label,OTC,Private Label,Yes,ILWH500E,A,OTCIL2485,3/19/2024,Inactive,
781006BCV,Cough Syrup,,General Market,Yes,,A,OTCCA3427,7/17/2025,Active,
938116GTA,Lisinopril 250mg Tablets,Pharma,General Market,Yes,TXDC300C,C,PHRTX1945,6/19/2022,Inactive,
780848DHS,Cold and Flu Capsules,OTC,Private Label,No,ILWH500E,C,OTCIL6532,4/8/2019,Inactive,
691869GEF,Antacid Chewables Sample,OTC,Sample,Yes,PAWH200B,B,OTCPA2216,4/20/2020,Active,
351652MZF,Antacid Chewables,,General Market,Yes,NJWH100A,A,OTCNJ4116,11/8/2021,Inactive,
890880WIP,Pain Relief Tablets,OTC,Sample,Yes,CADC400D,B,OTCCA1208,9/3/2017,Inactive,
738672ERG,Cough Syrup Sample,OTC,Sample,Yes,PAWH200B,B,OTCPA2328,9/15/2022,Active,
448251MFU,Atorvastatin 100mg Tablets Private Label,Pharma,Private Label,Yes,NJWH100A,A,PHRNJ3432,3/12/2024,Active,
734444CMU,Allergy Relief Caps,OTC,Private Label,Yes,TXDC300C,C,OTCTX5695,6/29/2022,Inactive,
231295ASO,Metformin 20mg Tablets,Pharma,General Market,Yes,TXDC300C,C,PHRTX9478,1/21/2024,Inactive,
842009VTE,Cough Syrup Smaple,OTC,Sample,Yes,TXDC300C,C,OTCTX2509,12/21/2024,Inactive,
514331UIV,Cough Syrup,OTC,Private Label,Yes,ILWH500E,C,OTCIL5102,9/19/2023,Inactive,
680491KPC,Cough Syrup Private Label,OTC,Private Label,Yes,NJWH100A,A,OTCNJ8690,3/22/2018,Inactive,
527939AEW,Allergy Relief Caps Sample,OTC,Sample,Yes,PAWH200B,B,OTCPA2469,8/12/2025,Active,
565448SYS,Cold and Flu Capsules,OTC,General Market,Yes,ILWH500E,C,OTCIL8107,5/8/2023,Active,
941433UDF,Ibuprofen 50mg Tablets,Pharma,,Yes,TXDC300C,B,PHRTX2909,1/24/2023,Inactive,
813810DPJ,Losartan 50mg Tablets Sample,Pharma,Sample,Yes,CADC400D,B,PHRCA8747,11/14/2018,Inactive,
127397UKS,Ibuprofen 5mg Tablets,Pharma,Private Label,Yes,NJWH100A,A,PHRNJ4825,10/15/2024,Inactive,
541106VEW,Cough Syrup,OTC,General Market,Yes,PAWH200B,A,OTCPA3831,12/2/2022,Active,
569496WLR,Levothyroxine 100mg Tablets,Pharma,,Yes,PAWH200B,A,PHRPA7531,3/7/2020,Active,
954814LXP,Antacid Chewables Private Label,OTC,Private Label,Yes,TXDC300C,A,OTCTX6934,6/14/2020,Active,
803231GHP,Cold nad Flu Capsules Private Label,OTC,Private Label,Yes,TXDC300C,A,OTCTX9032,6/11/2019,Active,
540970AWL,Cough Syrup,OTC,General Market,Yes,TXDC300C,C,OTCTX3011,10/8/2017,Active,
972613LJX,Omeprazole 250mg Tablets Sample,Pharma,Sample,Yes,NJWH100A,C,PHRNJ7630,11/29/2018,Active,
734552TJH,Levothyroxine 10mg Tablets,Pharma,General Market,Yes,PAWH200B,B,PHRPA5350,3/31/2022,Inactive,
435542WWE,Allergy Relief Caps Private Label,OTC,Private Label,Yes,PAWH200B,A,OTCPA8135,3/20/2021,Inactive,
713482TJI,Atorvastatin 100mg Tablets Sample,Pharma,Sample,Yes,NJWH100A,A,PHRNJ6805,10/6/2021,Active,
278089PEJ,Pain Relief Tablets Private Label,OTC,Private Label,Yes,ILWH500E,C,OTCIL1040,1/29/2024,Active,
465510TPA,Cough Syrup,OTC,Private Label,Yes,,C,OTCIL4185,4/10/2021,Active,
205530SFX,Allergy Relief Caps Private Label,OTC,Private Label,Yes,PAWH200B,B,OTCPA5248,7/3/2021,Active,9/10/2030
131607FTC,Antacid hCewables,OTC,General Market,Yes,PAWH200B,C,OTCPA9479,12/9/2019,Active,
207793YPM,Losartan 50mg Tablets Private Label,Pharma,Private Label,Yes,,A,PHRTX4377,8/3/2017,Inactive,
697832QGS,Losartan 100mg Tablets,Pharma,General Market,Yes,TXDC300C,B,PHRTX6669,12/6/2018,Active,
438449QRI,Sertraline 100mg Tablets Private Label,Pharma,Private Label,Yes,PAWH200B,C,PHRPA7236,10/14/2024,Inactive,9/4/2030
327693BZO,Allergy Relief Caps,OTC,General Market,Yes,TXDC300C,C,OTCTX9652,6/10/2018,Inactive,
713325FFX,Cough Syrup Sample,OTC,Sample,Yes,TXDC300C,C,OTCTX5183,9/7/2024,Active,
173401NNA,Losartan 250mg Tablets,Pharma,General Market,Yes,NJWH100A,A,PHRNJ1447,1/8/2017,Active,
568080LZY,Colda nd Flu Capsules,OTC,,Yes,TXDC300C,A,OTCTX4857,10/15/2022,Inactive,
513947FYL,Losartan 10mg Tablets,Pharma,General Market,Yes,TXDC300C,A,PHRTX8387,5/6/2019,Inactive,
957387YLH,Lisinopril 10mg Tablets,Pharma,General Market,No,NJWH100A,C,PHRNJ8153,5/12/2017,Active,
701284ALG,Atorvastatin 20mg Tablets,Pharma,Private Label,Yes,CADC400D,A,PHRCA7908,10/29/2019,Inactive,
222551ZVU,Antacid Chewables,OTC,Private Label,Yes,ILWH500E,C,OTCIL6094,3/4/2018,Active,
987259CJW,Lisinopril 50mg Tablets,Pharma,Sample,Yes,ILWH500E,B,PHRIL3481,4/22/2021,Active,
478947MJE,Allergy Relief Caps,OTC,General Market,Yes,TXDC300C,A,OTCTX8472,1/24/2018,Inactive,9/24/2030
117752QXR,Antacid Chewables Private Label,OTC,Private Label,Yes,,A,OTCNJ5678,5/30/2022,Inactive,
215465UOH,Lisinopril 50mg Tablets Sapmle,Pharma,Sample,Yes,CADC400D,A,PHRCA4594,3/19/2021,Inactive,
417088PRM,Amoxicillin 010mg Tablets,Pharma,Sample,Yes,NJWH100A,A,PHRNJ7802,4/19/2019,Inactive,
597318PTZ,Omeprazole 50mg Tablets,Pharma,General Market,Yes,TXDC300C,,PHRTX3173,5/7/2025,Active,
314378VOB,Pain Relief Tablets Private Label,OTC,Private Label,Yes,PAWH200B,A,OTCPA6102,1/8/2018,Active,
543678YNR,Lisinopril 10mg Tablets Sample,Pharma,Sample,Yes,ILWH500E,C,PHRIL7727,2/18/2020,Inactive,
562174JTD,Ibuprofen 100mg Tablets,Pharma,General Market,Yes,PAWH200B,C,PHRPA9451,9/28/2025,Inactive,
351354UIH,Losartan 5mg Tablets Sample,Pharma,,No,PAWH200B,B,PHRPA5243,3/5/2022,Inactive,
297778NSF,Cough Syrup,OTC,General Market,Yes,NJWH100A,C,OTCNJ6128,1/13/2020,Active,9/3/2019
256037JNT,Cough Syrup Private Label,OTC,Private Label,No,,A,OTCCA9476,6/25/2020,Inactive,
793302DXL,Antacid Chewables Private Label,OTC,Private Label,Yes,CADC400D,C,OTCCA8247,4/1/2023,Active,
738608NJY,Amoxicillin 10mg Tablets,Pharma,Sample,Yes,TXDC300C,B,PHRTX1417,7/11/2020,Inactive,
919318FZL,Cold and Flu Capsules,OTC,,Yes,NJWH100A,C,OTCNJ3682,8/20/2017,Active,
213364ZYF,Pain Relief Tabltes,OTC,General Market,Yes,TXDC300C,A,OTCTX3823,5/11/2021,Active,
900242WEV,Antacid Chewables,OTC,Private Label,Yes,ILWH500E,A,OTCIL4378,5/19/2017,Active,
280405DYV,Atorvastatin 10mg Tablets,,General Market,Yes,ILWH500E,A,PHRIL2736,8/30/2025,Inactive,
732755PGG,Ibuprofen 50mg Tablets,,General Market,Yes,,C,PHRTX8971,6/30/2023,Inactive,
602800YFA,Cough Syrup,OTC,General Market,Yes,PAWH200B,B,OTCPA2371,2/21/2018,Active,
859263NRP,Sertraline 100mg Tablets,Pharma,Private Label,Yes,PAWH200B,C,PHRPA3445,11/27/2018,Active,
696108RIS,Pain Relief Tablets Sample,OTC,Sample,Yes,PAWH200B,B,OTCPA4325,11/12/2017,Inactive,
960272HFS,Cough Syrup Private Label,OTC,Private Label,No,PAWH200B,C,OTCPA6365,3/27/2023,Active,
808302HAF,Cough Syrup Private Label,OTC,Private Label,Yes,CADC400D,B,OTCCA8775,9/14/2019,Inactive,
203905IBK,Metformin 100mg Tablets,Pharma,General Market,Yes,CADC400D,C,PHRCA3353,6/10/2021,Active,
791331KJV,Omeprazole 10mg Tablets,Pharma,General Market,Yes,TXDC300C,A,PHRTX6541,10/27/2018,Inactive,
227720RWM,Pain Relief Tablets,OTC,,Yes,TXDC300C,C,OTCTX2985,6/25/2022,Active,9/5/2030
220929LPT,Losartan 10mg Tablets,Pharma,Private Label,Yes,ILWH500E,B,PHRIL2468,7/22/2022,Active,
962756OYD,Allergy Relief Caps,OTC,Private Label,No,TXDC300C,B,OTCTX3868,7/26/2019,Active,3/15/2029
435238WFS,Allergy Relief Cpas,OTC,Sample,Yes,NJWH100A,B,OTCNJ6062,9/9/2020,Inactive,
568960CHF,Metformin 50mg Tablets Private Label,Pharma,Private Label,Yes,ILWH500E,C,PHRIL4211,5/25/2023,Inactive,
791955XLB,Cough Syrup,OTC,Sample,Yes,ILWH500E,B,OTCIL1116,9/23/2024,Inactive,
332470ZVX,Lisinopril 10mg Tablets,Pharma,,Yes,CADC400D,B,PHRCA8317,2/14/2025,Active,
458371UVK,Cough Syrup,OTC,Private Label,Yes,ILWH500E,B,OTCIL1126,6/14/2018,Inactive,
766632NUI,Pain Relief Tablets Private Label,OTC,Private Label,Yes,TXDC300C,B,OTCTX2245,7/18/2025,Inactive,
470615MPL,Cold and Flu Capsules,OTC,,Yes,ILWH500E,C,OTCIL6421,4/22/2023,Active,
948189ATA,Ibuprofen 20mg Tablets,Pharma,General Market,Yes,CADC400D,C,PHRCA3292,8/19/2024,Active,
479709DLE,Allergy Relief Caps Private Label,OTC,Private Label,Yes,NJWH100A,B,OTCNJ6030,12/30/2021,Inactive,
129709HRH,Atorvastatin 250mg Tablets Private Label,Pharma,Private Label,Yes,PAWH200B,C,PHRPA5591,10/8/2022,Inactive,
223228WET,Cold and Flu Capsules,OTC,Private Label,Yes,PAWH200B,A,OTCPA3553,11/1/2024,Inactive,
720384WFS,Cold and Flu Capsules,,Sample,Yes,ILWH500E,C,OTCIL2621,11/29/2025,Inactive,
245965FFZ,Cold and Flu Capsules,OTC,Private Label,Yes,ILWH500E,B,OTCIL9394,3/22/2021,Active,
838305NYZ,Cold and Flu Capsules,OTC,General Market,Yes,ILWH500E,B,OTCIL1417,12/3/2025,Inactive,
242670FMB,Levothyroxine 10mg Tablets Sample,Pharma,Sample,Yes,ILWH500E,B,PHRIL6001,9/8/2018,Active,
256834KZN,Omeprazole 10mg Tablets,Pharma,General Market,Yes,CADC400D,C,PHRCA5220,12/2/2023,Active,
322040WVO,Omeprazole 50mg Tablets Private Label,,Private Label,Yes,CADC400D,A,PHRCA7696,2/7/2023,Active,
353566PQB,Hydrochlorothiazide 20mg Tablets,Pharma,General Market,Yes,TXDC300C,C,PHRTX2770,12/1/2024,Active,
660133IXC,Amoxicillin 100mg Tablets,Pharma,General Market,Yes,NJWH100A,C,PHRNJ5932,7/22/2020,Inactive,
302321XFF,Pain Relief Tablets,,General Market,Yes,CADC400D,B,OTCCA8308,4/20/2024,Active,
324167RPL,Antacid Chewables,OTC,Sample,Yes,NJWH100A,C,OTCNJ9081,2/27/2022,Inactive,
388127BWY,Omeprazole 20mg Tablets Private Label,Pharma,Private Label,Yes,CADC400D,B,PHRCA5940,3/1/2017,Inactive,
721437CMU,Sertraline 10mg Tablets,Pharma,,Yes,ILWH500E,C,PHRIL3182,3/15/2023,Inactive,
791390FZE,Allergy Relief Caps,OTC,General Market,Yes,NJWH100A,A,OTCNJ7773,1/22/2020,Active,
890177KIU,Sertraline 100mg Tablets,Pharma,Sample,Yes,CADC400D,C,PHRCA8348,3/18/2022,Active,11/20/2030
865937UOI,Metformin 10mg Tablets Sample,Pharma,Sample,Yes,CADC400D,C,PHRCA5610,8/12/2023,Active,
359940ADJ,Ibuprofe n20mg Tablets,Pharma,Private Label,Yes,CADC400D,B,PHRCA2645,4/3/2022,Inactive,
849311XIV,Pain Relief Tablets Sample,OTC,Sample,Yes,PAWH200B,B,OTCPA5440,12/8/2020,Inactive,
152520EHM,Cough Syrup Private Label,OTC,Private Label,Yes,NJWH100A,B,OTCNJ3981,9/24/2020,Active,
571917TKJ,Lsiinopril 10mg Tablets,,General Market,Yes,NJWH100A,C,PHRNJ3398,1/4/2018,Active,
87274M6JR,Ibuprofen 100mg Tablets,Pharma,Private Label,Yes,TXDC300C,C,PHRTX8240,10/9/2019,Inactive,11/16/2028
130564SJG,Ibuprofen 100mg Tablets,Pharma,Sample,No,ILWH500E,A,PHRIL9267,12/13/2018,Active,
195166JYK,Levothyroxine 5mg Tablets,Pharma,General Market,Yes,NJWH100A,A,PHRNJ3918,10/4/2020,Active,
346645OCB,Amoxicillin 100mg TabletsP rivate Label,Pharma,Private Label,Yes,NJWH100A,A,INVALIDFRG1,12/12/2024,Active,
120710LZU,Atorvastatin 250mg Tablets Private Label,Pharma,Private Label,Yes,NJWH100A,B,PHRNJ1551,6/24/2018,Inactive,
812169OKV,Cough Syrup,OTC,Private Label,Yes,PAWH200B,A,OTCPA2301,11/10/2019,Inactive,
191276GHN,Amxoicillin 20mg Tablets,Pharma,General Market,Yes,TXDC300C,A,PHRTX3876,1/18/2025,Inactive,
767925SMR,Antacid Chewables Private Label,OTC,Private Label,No,,A,OTCIL8717,5/22/2021,Inactive,
930328WKF,Allergy Relief Caps Sample,OTC,Sample,Yes,CADC400D,B,OTCCA8475,5/25/2020,Active,
296535RXF,Pain Relief Tablets Sample,OTC,Sample,Yes,PAWH200B,C,OTCPA5288,4/6/2025,Inactive,
524014YLW,Cough Syrup Sample,OTC,Sample,Yes,NJWH100A,A,OTCNJ5631,10/24/2019,Inactive,
126907WUQ,Antacid Chewables Sample,OTC,Sample,Yes,TXDC300C,C,OTCTX5977,3/9/2024,Inactive,
500088SXH,Levothyroxine 250mg Tablets Sample,Pharma,Sample,Yes,TXDC300C,A,PHRTX6620,4/30/2024,Active,
898268JJB,Hydrochlorothiazide 100mg Tablets Sample,Pharma,Sample,Yes,CADC400D,B,INVALIDFRG1,9/6/2019,Inactive,
684566ZTV,Cold and Flu Capsules,OTC,Private Label,No,ILWH500E,B,OTCIL5668,4/7/2021,Active,
642430JEZ,Omeprazole 100mg Tablets,Pharma,Sample,Yes,PAWH200B,C,PHRPA5947,5/9/2021,Active,
329690OFI,Hydrochlorothiazide 100mg Tablets Sample,Pharma,Sample,Yes,PAWH200B,C,PHRPA5330,4/19/2021,Active,
488491IIE,Cold and Flu Capsules,OTC,Sample,No,ILWH500E,A,OTCIL3144,2/6/2018,Inactive,
310914PFN,Atorvastatin 20mg Tablets,Pharma,Private Label,Yes,PAWH200B,C,PHRPA6840,10/27/2025,Active,
899688OFB,Cold and Flu Capsules,OTC,General Market,Yes,NJWH100A,C,OTCNJ3184,7/25/2023,Active,
165067TYX,Sertraline 250mg Tablets Private Label,Pharma,Private Label,Yes,ILWH500E,C,PHRIL6515,11/1/2017,Active,
676708CLJ,Omeprazole 10mg Tablets Private Label,Pharma,Private Label,Yes,TXDC300C,B,PHRTX6826,2/20/2018,Active,
714335NIQ,Sertraline 250mg Tablets,Pharma,General Market,Yes,NJWH100A,A,PHRNJ8155,5/14/2025,Active,
595178IPR,Sertraline 10mg Tablets,Pharma,General Market,Yes,TXDC300C,C,PHRTX5257,9/11/2022,Active,7/2/2032
161730ZNG,Antacid Chewables,OTC,Private Label,Yes,ILWH500E,C,OTCIL4980,1/26/2023,Active,
790681MFX,Allergy Relief Caps,OTC,Sample,Yes,CADC400D,C,OTCCA4525,6/10/2019,Inactive,9/6/2028
911303XDX,Ibuprofen 100mg Tablets,Pharma,General Market,Yes,ILWH500E,A,PHRIL1970,12/13/2023,Inactive,
756069EJP,Antacid Chewables,OTC,Private Label,Yes,,A,OTCIL9587,2/12/2025,Inactive,
666326AAS,Omeprazole 50mg Tablets,Pharma,General Market,Yes,,A,PHRTX8321,6/9/2025,Inactive,
313759SFO,Omeprazole 10mg Tablets Sample,Pharma,Sample,Yes,CADC400D,B,PHRCA8193,9/8/2021,Active,
853367RMD,Losartan 250mg Tablets Sample,Pharma,Sample,Yes,CADC400D,A,PHRCA7214,11/27/2020,Active,
973414YLC,Levothyroxine 10mg Tablets Private Label,Pharma,Private Label,Yes,PAWH200B,C,PHRPA5976,1/8/2019,Active,
132691MLE,Cold adn Flu Capsules Private Label,OTC,Private Label,Yes,CADC400D,C,OTCCA8966,10/18/2021,Active,
989944AEH,Antacid Chewables Private Label,OTC,Private Label,Yes,PAWH200B,B,OTCPA8752,12/26/2020,Active,
905723GSP,Antacid Chewables,OTC,Sample,Yes,NJWH100A,A,OTCNJ5903,1/7/2018,Inactive,
368940FXO,Hydrochlorothiazide 100mg Tablets Sample,Pharma,Sample,Yes,CADC400D,A,PHRCA7896,7/19/2020,Active,
361715SWK,Antacid Chewables,OTC,Sample,Yes,PAWH200B,A,OTCPA3268,4/13/2021,Inactive,
816544SBR,Cold and Flu Capsules,OTC,General Market,Yes,NJWH100A,A,OTCNJ5229,12/4/2024,Inactive,11/10/2030
320697SJB,Colda nd Flu Capsules,OTC,General Market,Yes,TXDC300C,A,OTCTX7491,4/5/2022,Inactive,
110015FBB,Allergy Relief Caps,OTC,General Market,Yes,NJWH100A,B,OTCNJ4251,4/25/2018,Active,10/13/2028
979297AYP,Allergy Relief Caps,OTC,General Market,Yes,CADC400D,C,OTCCA2139,10/31/2020,Inactive,
410452AHG,Ibuprofen 100mg Tablets,,Sample,Yes,CADC400D,A,PHRCA2586,6/2/2019,Active,
970945UVP,Hydrochlorothiazide 50mg Tablets aSmple,Pharma,Sample,Yes,,C,PHRTX2683,7/29/2025,Active,
749879QDG,Allergy Relief Caps,OTC,General Market,Yes,PAWH200B,C,OTCPA9938,12/14/2024,Active,
750441QWN,Allergy Relief Caps,OTC,General Market,Yes,PAWH200B,B,OTCPA1503,3/28/2024,Inactive,
528413NYX,Lisinopril 10mg Tablets Sample,Pharma,Sample,Yes,NJWH100A,B,PHRNJ4754,3/22/2025,Inactive,
424705PUV,Atorvastatin 5mg Tablets Sample,Pharma,Sample,Yes,NJWH100A,,PHRNJ2405,7/29/2020,Inactive,
923777CNL,Cough Syrup Sample,OTC,Sample,Yes,CADC400D,B,OTCCA6430,8/31/2019,Active,
40362R7HM,Ibuprofen 5mg Tablets,Pharma,Sample,Yes,ILWH500E,B,PHRIL2105,6/24/2019,Inactive,
283412NLM,Atorvastatin 20mg Tablets Private Label,Pharma,Private Label,Yes,NJWH100A,C,INVALIDFRG1,9/30/2023,Inactive,
601260KXA,Atorvastatin 10mg Tablets Sample,Pharma,,Yes,TXDC300C,A,PHRTX7815,10/20/2021,Active,
227170MRT,Hydrochlorothiazide 10mg Tablets,Pharma,General Market,Yes,PAWH200B,B,PHRPA2065,1/5/2022,Active,
587636MUV,Cough Syrup,OTC,General Market,Yes,ILWH500E,C,OTCIL8550,11/12/2022,Active,
115254BZH,Pain Relief Tablets,OTC,General Market,Yes,TXDC300C,A,OTCTX8631,2/23/2021,Active,
438321HTX,Sertraline 20mg Tablets,Pharma,General Market,Yes,NJWH100A,C,PHRNJ9518,9/27/2025,Inactive,
399153WNI,Omeprazole 5mg Tablets,,Private Label,Yes,CADC400D,B,PHRCA7864,3/25/2023,Active,
860196XUZ,Cough Syrup Sample,OTC,Sample,Yes,TXDC300C,B,OTCTX9609,8/19/2023,Active,
760106FDH,Omeprazole 250mg Tablets Private Label,Pharma,Private Label,Yes,,C,PHRPA4586,2/8/2020,Active,
958302RZD,Levothyroxnie 20mg Tablets,Pharma,General Market,Yes,PAWH200B,C,PHRPA8291,12/4/2017,Inactive,
885893FRV,Pain Relief Tablets Sample,OTC,Sample,Yes,ILWH500E,,OTCIL6917,11/22/2020,Inactive,
914045VCV,Levothyroxine 10mg Tablets Sample,Pharma,Sample,Yes,CADC400D,A,PHRCA3114,5/4/2021,Active,
140842DPR,Cold and Flu Capsules Private Label,OTC,Private Label,Yes,CADC400D,C,OTCCA4384,3/13/2025,Active,
777311ZRM,Cold and Flu Capsules,OTC,Sample,No,TXDC300C,B,OTCTX2184,7/14/2018,Inactive,
951578PTL,Allergy Relief Caps,OTC,,Yes,NJWH100A,B,OTCNJ6866,6/3/2024,Active,9/3/2019
503897JJQ,Metformin 100mg Tablets Sample,Pharma,Sample,Yes,NJWH100A,B,PHRNJ8358,3/18/2020,Inactive,
841487GFV,Cough Syrup,OTC,Sample,Yes,CADC400D,B,OTCCA1412,6/12/2019,Inactive,
676261ANV,Amoxicillin 100mg Tablets,Pharma,Sample,Yes,PAWH200B,,PHRPA4637,6/29/2022,Active,
745402MQI,Ibuprofen 50mg Tablets,Pharma,General Market,Yes,TXDC300C,B,PHRTX4264,2/2/2024,Inactive,
366806AGB,Antacid Chewables,OTC,Private Label,Yes,CADC400D,C,OTCCA8840,1/1/2021,Active,3/15/2026
398109GVR,Levothyroxine 100mg Tablets Sample,Pharma,Sample,Yes,ILWH500E,A,PHRIL4205,10/23/2023,Active,
892727JWF,Losartan 250mg Tablets,Pharma,General Market,Yes,CADC400D,A,PHRCA4271,8/1/2023,Inactive,
146969NHN,Cough Syrup,OTC,General Market,Yes,PAWH200B,,OTCPA7484,12/14/2023,Active,
459494DGV,Omeprazole 250mg Tablets,Pharma,General Market,Yes,ILWH500E,B,PHRIL8647,7/17/2020,Inactive,
881094CLH,Lisinopril 10mg Tablets Private Label,Pharma,Private Label,Yes,PAWH200B,C,PHRPA7090,3/27/2023,Inactive,
980406AGU,Atorvastatin 100mg Tablets,Pharma,Sample,Yes,NJWH100A,B,PHRNJ4262,6/10/2023,Active,
337365VJH,Metformin 250mg Tablets,Pharma,General Market,Yes,CADC400D,C,PHRCA2055,11/22/2023,Active,
180538BBK,Antacid Chewables Private Label,OTC,Private Label,Yes,CADC400D,B,OTCCA7321,7/16/2025,Active,
940340RXQ,Antacid Chewables,OTC,General Market,Yes,NJWH100A,C,OTCNJ4469,3/15/2022,Inactive,
456592GCM,Cold and Flu Capsules Sample,OTC,Sample,Yes,ILWH500E,B,OTCIL5331,9/21/2018,Inactive,
176187KWG,Pain Relief Tablets Samlpe,OTC,Sample,Yes,PAWH200B,B,OTCPA2876,7/15/2017,Active,
495328SDB,Cold and Flu Capsules Sample,OTC,,Yes,,A,OTCCA4787,9/30/2023,Inactive,
865799CGS,Lisinopril 50mg Tablets,Pharma,Private Label,Yes,,A,PHRIL2918,2/10/2021,Inactive,
135557HEW,Hydrochlorothiazide 50mg Tablets,Pharma,General Market,Yes,PAWH200B,C,PHRPA9359,12/7/2019,Inactive,
121933EGB,Pain Relief Tablets,OTC,Private Label,Yes,CADC400D,B,OTCCA4721,1/1/2019,Inactive,
266270NPV,Pain Relief Tablets,OTC,Private Label,Yes,ILWH500E,C,OTCIL8085,11/19/2018,Active,9/3/2019
350409HUI,Levothyroxine 250mg Tablets,Pharma,Private Label,Yes,PAWH200B,A,PHRPA2189,5/16/2018,Inactive,
932549OQA,Cough Syrup Sample,OTC,,Yes,CADC400D,,OTCCA1986,8/10/2024,Active,
640005XCV,Atorvastatin 250mg Tablets,Pharma,General Market,Yes,PAWH200B,B,PHRPA8596,11/15/2018,Active,
770932PLH,Metformin 10mg Tablets Private Label,Pharma,Private Label,Yes,NJWH100A,C,PHRNJ2843,7/1/2017,Inactive,
163188IEV,Cold and Flu Capsules Private Label,OTC,Private Label,Yes,TXDC300C,B,OTCTX6923,11/3/2022,Active,
949070LKL,Omeprazole 250mg Tablets,Pharma,,Yes,TXDC300C,C,PHRTX6355,9/23/2025,Inactive,
555306RTJ,Cold and Flu Capsules,OTC,Sample,Yes,CADC400D,A,OTCCA5071,10/5/2024,Inactive,1/26/2028
227688MOE,Hydrochlorothiazide 250mg Tablets,Pharma,General Market,Yes,PAWH200B,A,INVALIDFRG1,2/24/2019,Inactive,
